0,2.94666,0,-1,0,0,0,-0.589031,0,-0.877636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.01,2.94665,5.34691e-07,-1.00002,2.04953e-05,-6.7809e-06,2.83792e-06,-0.589068,2.01623e-05,-0.877633,9.05764e-06,-0.00277416,0.000106823,-0.00364883,0.00409763,-0.00135578,0.000567025,-0.00732135,0.00403051,0.000774248,0.00181196,-35.3813,9.21535,-9.16932,0.247465,48.7719,-30.4034,14.3233,9.39678,-3.75598,28.8646,-9.50317,-12.4232,5.54679,-4.16057e-06,0.38461,4.90782,1,-0.384609,4.13859,-1.4545e-05,0.254347,4.90782,7.34015e-07,-0.384622,3.94665,3.37261e-06,-1.00001,2.94665,1,-0.999998,2.94664,-1.99606e-05,-1.82485e-05,2.94665,5.34691e-07,-1.00002,1.45508,-3.42942e-06,-0.972249,0.62363,1,-0.416648,1.17919,-2.7078e-05,0.414794,0.623613,-4.11806e-07,-0.416669,
0.02,2.94661,2.23687e-06,-1.00007,5.9787e-05,-2.61027e-05,1.0734e-05,-0.589174,6.3988e-05,-0.877623,2.03757e-05,-0.00542025,0.000233525,-0.00721252,0.0037596,-0.00250823,0.00101173,-0.0140511,0.00473305,0.00108394,0.000452084,-33.683,8.40594,-9.21706,0.181015,48.3938,-29.9979,13.8342,9.06672,-3.35107,28.2173,-9.21037,-11.9922,5.54674,-1.59581e-05,0.384596,4.90775,1,-0.384599,4.13854,-4.36627e-05,0.254318,4.90778,2.79707e-06,-0.384643,3.94661,1.29709e-05,-1.00005,2.9466,1,-1.00001,2.94658,-5.75504e-05,-7.25615e-05,2.94661,2.23687e-06,-1.00007,1.45504,-1.27748e-05,-0.972328,0.623676,0.999998,-0.416615,1.17928,-8.10208e-05,0.41474,0.623623,-1.72176e-06,-0.416675,
0.03,2.94654,5.18907e-06,-1.00016,9.47472e-05,-5.60501e-05,2.27674e-05,-0.589346,0.000113428,-0.877613,1.81308e-05,-0.00795064,0.000356836,-0.0106939,0.00323216,-0.00348093,0.00139453,-0.0202494,0.00515392,0.000989042,-0.000900139,-32.1444,8.07308,-9.24668,0.234029,47.9614,-29.5867,13.4167,8.7836,-2.99506,27.6398,-8.94135,-11.6171,5.54664,-3.41639e-05,0.384572,4.90766,1.00001,-0.384599,4.13845,-7.2017e-05,0.254266,4.9077,6.03928e-06,-0.38468,3.94654,2.79565e-05,-1.00011,2.94652,1.00001,-1.00007,2.94649,-8.95595e-05,-0.000162102,2.94654,5.18907e-06,-1.00016,1.45497,-2.66885e-05,-0.972455,0.62373,0.999996,-0.416589,1.17941,-0.000133141,0.414652,0.623639,-3.98507e-06,-0.416684,
0.04,2.94645,9.35236e-06,-1.00029,0.000124812,-9.49303e-05,3.83777e-05,-0.589577,0.000166717,-0.877605,3.29662e-06,-0.0103764,0.000475749,-0.0140956,0.00278128,-0.00429485,0.00172715,-0.0259696,0.00550346,0.000542851,-0.0020653,-30.7447,7.80183,-9.26038,0.286853,47.4866,-29.1634,13.0402,8.52756,-2.68625,27.1153,-8.69624,-11.2783,5.54651,-5.77418e-05,0.38454,4.90755,1.00001,-0.384609,4.13832,-9.88291e-05,0.254191,4.90759,1.04481e-05,-0.384731,3.94645,4.77301e-05,-1.00019,2.94641,1.00001,-1.00016,2.94635,-0.000115463,-0.00028606,2.94645,9.35236e-06,-1.00029,1.45489,-4.44316e-05,-0.972627,0.623788,0.999993,-0.416572,1.17959,-0.00018226,0.414532,0.62366,-7.15817e-06,-0.416697,
0.05,2.94633,1.46847e-05,-1.00044,0.000150771,-0.000141249,5.70999e-05,-0.589863,0.000223249,-0.877604,-2.23296e-05,-0.0127071,0.000590654,-0.01742,0.00241159,-0.00496868,0.00201695,-0.0312594,0.00580305,-0.00020736,-0.00305814,-29.4684,7.56057,-9.26016,0.332722,46.9755,-28.7291,12.6979,8.29448,-2.41993,26.6369,-8.47244,-10.9703,5.54633,-8.5803e-05,0.384501,4.9074,1.00002,-0.384631,4.13814,-0.000124248,0.254089,4.90744,1.60207e-05,-0.384799,3.94633,7.17846e-05,-1.0003,2.94628,1.00001,-1.00029,2.94619,-0.000136094,-0.000443652,2.94633,1.46847e-05,-1.00044,1.45478,-6.54001e-05,-0.972842,0.62385,0.999989,-0.416561,1.17981,-0.000228918,0.414383,0.623684,-1.1198e-05,-0.416712,
0.06,2.9462,2.11482e-05,-1.00063,0.000173382,-0.000193689,7.85365e-05,-0.5902,0.000282564,-0.877611,-5.71432e-05,-0.0149516,0.000701974,-0.0206693,0.0021123,-0.00551905,0.00227007,-0.0361613,0.00606051,-0.00121967,-0.00390243,-28.3021,7.34363,-9.24775,0.372174,46.4333,-28.285,12.3852,8.08163,-2.19167,26.1988,-8.26749,-10.6891,5.54611,-0.000117584,0.384455,4.90723,1.00002,-0.384665,4.13793,-0.000148455,0.253959,4.90727,2.27552e-05,-0.384883,3.9462,9.96847e-05,-1.00044,2.94612,1.00002,-1.00046,2.946,-0.000152249,-0.000634115,2.9462,2.11482e-05,-1.00063,1.45465,-8.90792e-05,-0.973097,0.623916,0.999984,-0.416557,1.18008,-0.000273678,0.414207,0.623712,-1.60676e-05,-0.41673,
0.07,2.94604,2.87087e-05,-1.00086,0.000193298,-0.000251088,0.000102347,-0.590585,0.000344271,-0.877629,-9.97641e-05,-0.0171174,0.000810074,-0.0238456,0.00187314,-0.00596072,0.00249172,-0.0407132,0.00628181,-0.00245691,-0.00461927,-27.2338,7.14757,-9.22471,0.406091,45.8644,-27.8328,12.0984,7.88665,-1.99748,25.7959,-8.07921,-10.4312,5.54585,-0.000152426,0.384403,4.90702,1.00003,-0.384713,4.13768,-0.000171607,0.2538,4.90706,3.06503e-05,-0.384983,3.94604,0.000131056,-1.00061,2.94593,1.00003,-1.00066,2.94578,-0.000164615,-0.000856711,2.94604,2.87087e-05,-1.00086,1.4545,-0.00011503,-0.973389,0.623985,0.999978,-0.416557,1.18038,-0.000317028,0.414004,0.623743,-2.17354e-05,-0.416751,
0.08,2.94585,3.73357e-05,-1.00111,0.000211077,-0.000312427,0.000128239,-0.591013,0.000408034,-0.877661,-0.000149008,-0.0192114,0.000915272,-0.0269508,0.00168528,-0.00630686,0.00268641,-0.044949,0.00647207,-0.00388615,-0.00522681,-26.253,6.96951,-9.19243,0.435257,45.2729,-27.3736,11.8343,7.7075,-1.83378,25.4238,-7.90568,-10.1938,5.54554,-0.000189766,0.384345,4.90679,1.00004,-0.384775,4.13738,-0.000193836,0.253611,4.90682,3.97051e-05,-0.385101,3.94585,0.000165574,-1.0008,2.94573,1.00004,-1.0009,2.94554,-0.000173781,-0.00111072,2.94585,3.73357e-05,-1.00111,1.45433,-0.000142875,-0.973717,0.624056,0.999972,-0.416562,1.18072,-0.000359384,0.413777,0.623776,-2.8175e-05,-0.416773,
0.09,2.94565,4.70015e-05,-1.0014,0.000227194,-0.000376808,0.000155962,-0.591482,0.000473564,-0.877708,-0.00020386,-0.0212396,0.00101784,-0.0299867,0.00154113,-0.00656915,0.00285795,-0.0488986,0.00663563,-0.00547822,-0.00574056,-25.3503,6.807,-9.15213,0.460346,44.662,-26.9087,11.5899,7.54237,-1.69735,25.0787,-7.74523,-9.97416,5.54518,-0.000229115,0.384281,4.90653,1.00005,-0.384851,4.13704,-0.000215254,0.253391,4.90655,4.99189e-05,-0.385235,3.94565,0.000202963,-1.00102,2.9455,1.00005,-1.00117,2.94527,-0.000180251,-0.00139544,2.94565,4.70015e-05,-1.0014,1.45414,-0.000172296,-0.974078,0.624128,0.999965,-0.416571,1.18109,-0.000401102,0.413527,0.62381,-3.53636e-05,-0.416798,
